timesteps,run_1,run_2,run_3,run_4,run_5,mean_return,std_return
508500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
508750,500.0,500.0,500.0,500.0,485.26666666666665,497.0533333333333,5.89333333333334
509000,500.0,162.33333333333334,500.0,500.0,500.0,432.4666666666667,135.06666666666666
509250,500.0,500.0,114.73333333333333,500.0,500.0,422.9466666666667,154.10666666666665
509500,500.0,500.0,86.23333333333333,500.0,500.0,417.2466666666667,165.50666666666666
509750,500.0,500.0,120.96666666666667,500.0,500.0,424.1933333333333,151.61333333333334
510000,500.0,500.0,48.06666666666667,500.0,500.0,409.61333333333334,180.77333333333334
510250,468.8333333333333,500.0,51.4,500.0,500.0,404.0466666666666,176.7360236184023
510500,500.0,500.0,42.63333333333333,500.0,500.0,408.5266666666667,182.94666666666666
510750,500.0,500.0,50.233333333333334,500.0,500.0,410.04666666666674,179.90666666666667
511000,500.0,500.0,119.63333333333334,500.0,500.0,423.9266666666666,152.14666666666668
511250,500.0,500.0,61.333333333333336,500.0,500.0,412.2666666666666,175.46666666666667
511500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
511750,152.43333333333334,500.0,102.26666666666667,105.8,500.0,272.1,186.92029436218112
512000,143.63333333333333,484.8666666666667,91.66666666666667,271.7,199.86666666666667,238.34666666666664,137.0043090968715
512250,112.66666666666667,500.0,61.8,485.53333333333336,190.56666666666666,270.11333333333334,186.42168638748967
512500,129.4,471.2,81.73333333333333,500.0,500.0,336.4666666666667,189.42283330627745
512750,143.4,445.4,86.93333333333334,500.0,370.7,309.2866666666667,164.69936463481307
513000,130.2,500.0,136.3,500.0,104.96666666666667,274.29333333333335,184.58795602939838
513250,500.0,500.0,157.7,500.0,106.5,352.84000000000003,180.95922855715318
513500,311.1666666666667,500.0,500.0,500.0,117.0,385.6333333333333,152.93682065189896
513750,500.0,500.0,500.0,500.0,57.166666666666664,411.4333333333333,177.13333333333333
514000,500.0,500.0,500.0,500.0,342.53333333333336,468.50666666666666,62.98666666666666
514250,500.0,500.0,500.0,98.9,500.0,419.78000000000003,160.43999999999997
514500,500.0,500.0,500.0,401.6333333333333,500.0,480.32666666666665,39.34666666666667
514750,500.0,500.0,500.0,335.8666666666667,125.93333333333334,392.36,147.60337003078365
515000,500.0,500.0,212.93333333333334,500.0,116.23333333333333,365.83333333333337,167.14105021408315
515250,155.73333333333332,500.0,233.0,500.0,119.03333333333333,301.55333333333334,166.15579516425743
515500,453.6666666666667,500.0,500.0,500.0,500.0,490.7333333333334,18.533333333333324
515750,157.36666666666667,500.0,500.0,500.0,500.0,431.47333333333336,137.05333333333334
516000,500.0,500.0,455.06666666666666,500.0,500.0,491.0133333333333,17.973333333333333
516250,500.0,500.0,401.6,500.0,500.0,480.32,39.35999999999999
516500,500.0,500.0,417.43333333333334,500.0,500.0,483.4866666666667,33.026666666666664
516750,237.73333333333332,500.0,500.0,500.0,500.0,447.54666666666674,104.90666666666668
517000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
517250,500.0,500.0,500.0,500.0,129.6,425.91999999999996,148.16
517500,500.0,500.0,500.0,489.3,500.0,497.86,4.279999999999996
517750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
518000,500.0,500.0,500.0,500.0,500.0,500.0,0.0
518250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
518500,109.1,500.0,500.0,500.0,335.7,388.96,153.71915430420506
518750,500.0,500.0,500.0,500.0,394.9,478.98,42.04000000000001
519000,500.0,500.0,500.0,457.7,152.86666666666667,422.11333333333334,135.61650112644028
519250,205.03333333333333,420.8,500.0,363.7,168.3,331.5666666666667,126.51609822908352
519500,500.0,500.0,500.0,500.0,500.0,500.0,0.0
519750,500.0,500.0,500.0,112.16666666666667,500.0,422.4333333333334,155.13333333333333
520000,448.8,500.0,500.0,500.0,500.0,489.76000000000005,20.479999999999993
520250,500.0,500.0,500.0,500.0,500.0,500.0,0.0
520500,500.0,500.0,15.1,68.56666666666666,172.3,251.19333333333333,209.34480371971128
520750,500.0,500.0,45.93333333333333,473.1333333333333,500.0,403.81333333333333,179.242283701884
521000,500.0,500.0,45.5,89.93333333333334,500.0,327.0866666666667,212.2403434264508
521250,500.0,500.0,37.96666666666667,500.0,109.5,329.49333333333334,210.04877253734296
521500,500.0,500.0,45.53333333333333,500.0,500.0,409.1066666666667,181.78666666666666
521750,500.0,500.0,500.0,500.0,500.0,500.0,0.0
